Dt,weight
4444.405,1.1467012403740316e-06
4467.584,3.2832362005126936e-06
4463.451,1.2217850307246106e-05
4454.992,3.691240309235607e-06
4434.697,1.10695294032096e-06
4407.45,3.2570987492053933e-06
4417.595,1.7471306768951045e-06
4441.536,1.918413204100532e-06
4448.814,6.480671492230464e-07
4425.252,7.345107653184287e-07
4425.541,1.3499468499071382e-06
4409.186,3.1525798929633734e-06
4402.005,7.939926554145888e-07
4398.555,8.443662585833671e-06
4416.235,2.1476373934734093e-06
4426.945,2.1876420543036306e-07
4414.679,0.00011733153060839199
4407.1320000000005,5.983151048801543e-07
4425.054,1.1733153060839198e-05
4444.563,1.8883086084530744e-06
4449.561,2.1362311442478345e-06
4463.427,8.648627411604683e-06
4471.129,7.3266878476470325e-06
4483.615,4.135602772282361e-07
4490.556,1.3261842175495303e-06
4503.34,1.5902817256780115e-06
4504.334,1.1641972186439304e-05
4479.726,1.6366479508232968e-06
4469.725,8.426645801048624e-06
4473.862,1.229896760264763e-06
4477.373,4.207139808701992e-07
4478.615,2.76540187353104e-06
4486.058,1.2119241675922762e-07
4472.377,1.4970334589344229e-06
4457.6,3.4883351385614917e-06
4457.271,1.161168344431812e-05
4478.92,1.8170397965890122e-06
4466.329000000001,5.026810838780696e-07
4452.931,6.716528565372692e-07
4480.633,1.9014753392327978e-06
4496.142,5.553135504579016e-06
4494.021,3.857253771373461e-06
4483.016,2.0858915849649553e-05
4491.327,5.113861570841279e-07
4492.052,3.1399475480289756e-06
4511.835999999999,3.344229948632647e-07
4518.869000000001,2.8671838076733485e-06
4500.97,8.878289529146172e-06
4503.363,2.1868265484914097e-06
4479.476,6.960050671006761e-07
4455.657999999999,4.561745050759179e-07
4452.343,5.39302091939787e-06
4458.902,6.66408550659441e-07
4443.307,2.18226569941383e-06
4451.219,2.22222238931392e-06
4462.016,2.35115896480888e-06
4454.431,2.00316029988194e-06
4463.072,8.648921426982905e-07
4471.005999999999,4.611172646553124e-06
4465.629,2.2038113526563684e-06
4466.435,1.7662292968845287e-06
4487.645,5.221795647818728e-07
4471.059,1.8021533337549286e-06
4486.572,8.256679121614843e-06
4486.479,6.535915434348632e-07
4488.4,5.315777405558507e-07
4464.528,1.776179912079688e-05
4472.707,1.8112987594669284e-06
4475.397,1.9949804825699893e-06
4486.276,2.9460567856877936e-06
4484.309,1.0942298116908317e-06
4490.286,1.07259646965128e-06
4471.395,1.0720662103375779e-06
4451.124,5.135410318982537e-07
4457.955,1.9678304835654154e-06
4457.055,3.7361003503380812e-06
4440.151,1.6128084618141896e-06
4472.937,5.299988263931643e-06
4468.447,2.1872304327741223e-06
4449.4220000000005,2.1224701929142347e-06
4433.9220000000005,2.1184963429601883e-06
4446.943,1.1405547715198755e-05
4445.542,3.4068650247061033e-06
4450.729,1.4569442042059067e-06
4436.327,7.694568141939078e-07
4444.686,1.3026181112605223e-05
4434.3009999999995,1.8850697969445778e-06
4409.170999999999,4.090062885094808e-06
4427.968,1.9288806673816147e-06
4432.581,5.407757795460578e-07
4437.920999999999,2.9742131425922042e-06
4420.95,7.2989627132973455e-06
4393.102,1.4092270557701685e-06
4398.588,2.9423150531376052e-06
4408.269,1.5749124586439035e-06
4413.292,4.127314117698823e-06
4443.847,2.763989568082678e-07
4443.407,3.4895901199916823e-06
4452.817,1.0099887318498338e-06
4469.367,1.031368808010954e-06
4473.191,2.022480205129708e-06
4449.799,3.4805550790006293e-06
4437.462,5.805570918521227e-07
4450.237,6.490074826168972e-06
4429.602,2.853238709866022e-06
4434.584,1.574511669259909e-06
